const,Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load
1,0.62,808.5,367.5,220.5,3.5,3,0.1,5,12.74
1,0.9,563.5,318.5,122.5,7.0,3,0.1,2,29.68
1,0.9,563.5,318.5,122.5,7.0,3,0.4,2,36.57
1,0.79,637.0,343.0,147.0,7.0,2,0.25,2,38.57
1,0.9,563.5,318.5,122.5,7.0,4,0.4,5,34.72
1,0.64,784.0,343.0,220.5,3.5,2,0.25,4,16.99
1,0.64,784.0,343.0,220.5,3.5,3,0.1,4,15.19
1,0.98,514.5,294.0,110.25,7.0,3,0.25,3,28.56
1,0.71,710.5,269.5,220.5,3.5,2,0.4,1,14.51
1,0.86,588.0,294.0,147.0,7.0,5,0.1,1,25.27
1,0.66,759.5,318.5,220.5,3.5,2,0.4,5,14.96
1,0.9,563.5,318.5,122.5,7.0,3,0.25,2,33.27
1,0.82,612.5,318.5,147.0,7.0,3,0.25,4,24.96
1,0.66,759.5,318.5,220.5,3.5,4,0.4,2,15.09
1,0.69,735.0,294.0,220.5,3.5,5,0.25,2,12.95
1,0.79,637.0,343.0,147.0,7.0,5,0.25,2,38.98
1,0.79,637.0,343.0,147.0,7.0,5,0.0,0,28.75
1,0.66,759.5,318.5,220.5,3.5,5,0.4,4,15.3
1,0.62,808.5,367.5,220.5,3.5,4,0.25,3,13.95
1,0.76,661.5,416.5,122.5,7.0,3,0.1,2,32.4
1,0.82,612.5,318.5,147.0,7.0,3,0.25,5,25.17
1,0.74,686.0,245.0,220.5,3.5,4,0.1,4,10.07
1,0.82,612.5,318.5,147.0,7.0,5,0.1,3,23.87
1,0.64,784.0,343.0,220.5,3.5,5,0.4,3,18.46
1,0.74,686.0,245.0,220.5,3.5,3,0.4,1,14.61
1,0.9,563.5,318.5,122.5,7.0,2,0.4,3,34.24
1,0.62,808.5,367.5,220.5,3.5,2,0.4,2,16.76
1,0.62,808.5,367.5,220.5,3.5,4,0.1,4,13.0
1,0.79,637.0,343.0,147.0,7.0,2,0.4,3,41.26
1,0.71,710.5,269.5,220.5,3.5,4,0.4,5,12.76
1,0.98,514.5,294.0,110.25,7.0,3,0.4,2,32.71
1,0.9,563.5,318.5,122.5,7.0,3,0.4,1,37.24
1,0.66,759.5,318.5,220.5,3.5,4,0.1,2,11.33
1,0.69,735.0,294.0,220.5,3.5,3,0.4,5,14.28
1,0.86,588.0,294.0,147.0,7.0,4,0.1,4,26.33
1,0.79,637.0,343.0,147.0,7.0,3,0.4,4,41.73
1,0.64,784.0,343.0,220.5,3.5,2,0.4,5,17.69
1,0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69
1,0.79,637.0,343.0,147.0,7.0,5,0.25,3,39.83
1,0.71,710.5,269.5,220.5,3.5,4,0.4,1,14.5
1,0.76,661.5,416.5,122.5,7.0,5,0.25,1,36.43
1,0.66,759.5,318.5,220.5,3.5,3,0.1,5,11.34
1,0.62,808.5,367.5,220.5,3.5,5,0.0,0,8.5
1,0.64,784.0,343.0,220.5,3.5,5,0.1,3,15.36
1,0.69,735.0,294.0,220.5,3.5,2,0.1,4,11.18
1,0.64,784.0,343.0,220.5,3.5,4,0.1,1,15.42
1,0.86,588.0,294.0,147.0,7.0,2,0.0,0,19.5
1,0.82,612.5,318.5,147.0,7.0,5,0.25,3,25.17
1,0.9,563.5,318.5,122.5,7.0,5,0.4,4,36.57
1,0.79,637.0,343.0,147.0,7.0,2,0.25,3,39.04
1,0.69,735.0,294.0,220.5,3.5,3,0.1,1,11.13
1,0.9,563.5,318.5,122.5,7.0,3,0.25,3,32.4
1,0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.7
1,0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.08
1,0.82,612.5,318.5,147.0,7.0,4,0.4,2,28.64
1,0.82,612.5,318.5,147.0,7.0,3,0.4,3,29.67
1,0.9,563.5,318.5,122.5,7.0,5,0.4,1,35.96
1,0.86,588.0,294.0,147.0,7.0,5,0.25,1,28.66
1,0.74,686.0,245.0,220.5,3.5,5,0.25,4,12.43
1,0.66,759.5,318.5,220.5,3.5,5,0.4,1,15.23
1,0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.8
1,0.82,612.5,318.5,147.0,7.0,2,0.1,1,23.53
1,0.82,612.5,318.5,147.0,7.0,5,0.1,2,22.79
1,0.82,612.5,318.5,147.0,7.0,5,0.4,2,28.01
1,0.79,637.0,343.0,147.0,7.0,2,0.0,0,28.52
1,0.76,661.5,416.5,122.5,7.0,4,0.4,5,39.31
1,0.82,612.5,318.5,147.0,7.0,3,0.25,2,25.98
1,0.66,759.5,318.5,220.5,3.5,3,0.4,5,14.92
1,0.9,563.5,318.5,122.5,7.0,2,0.25,4,32.67
1,0.66,759.5,318.5,220.5,3.5,2,0.25,5,12.93
1,0.86,588.0,294.0,147.0,7.0,2,0.1,1,26.28
1,0.62,808.5,367.5,220.5,3.5,5,0.25,1,15.16
1,0.74,686.0,245.0,220.5,3.5,5,0.4,4,14.44
1,0.86,588.0,294.0,147.0,7.0,2,0.4,4,32.38
1,0.69,735.0,294.0,220.5,3.5,4,0.4,5,14.37
1,0.76,661.5,416.5,122.5,7.0,5,0.0,0,23.93
1,0.86,588.0,294.0,147.0,7.0,4,0.25,3,29.43
1,0.76,661.5,416.5,122.5,7.0,3,0.1,1,32.12
1,0.62,808.5,367.5,220.5,3.5,4,0.25,2,14.6
1,0.98,514.5,294.0,110.25,7.0,5,0.1,4,24.32
1,0.66,759.5,318.5,220.5,3.5,2,0.1,1,11.68
1,0.86,588.0,294.0,147.0,7.0,4,0.25,4,29.08
1,0.69,735.0,294.0,220.5,3.5,2,0.4,1,14.51
1,0.82,612.5,318.5,147.0,7.0,3,0.4,1,29.91
1,0.74,686.0,245.0,220.5,3.5,5,0.4,5,14.39
1,0.76,661.5,416.5,122.5,7.0,3,0.4,1,39.97
1,0.76,661.5,416.5,122.5,7.0,3,0.4,4,40.4
1,0.76,661.5,416.5,122.5,7.0,4,0.25,2,36.86
1,0.62,808.5,367.5,220.5,3.5,2,0.25,3,13.91
1,0.69,735.0,294.0,220.5,3.5,2,0.25,1,12.78
1,0.86,588.0,294.0,147.0,7.0,2,0.25,3,28.4
1,0.98,514.5,294.0,110.25,7.0,4,0.1,1,24.63
1,0.66,759.5,318.5,220.5,3.5,3,0.1,3,11.6
1,0.9,563.5,318.5,122.5,7.0,5,0.4,3,34.29
1,0.69,735.0,294.0,220.5,3.5,5,0.4,2,14.62
1,0.9,563.5,318.5,122.5,7.0,3,0.25,4,31.69
1,0.66,759.5,318.5,220.5,3.5,5,0.1,2,11.43
1,0.82,612.5,318.5,147.0,7.0,4,0.25,2,25.38
1,0.74,686.0,245.0,220.5,3.5,2,0.1,2,10.42
1,0.82,612.5,318.5,147.0,7.0,3,0.4,5,29.5
1,0.76,661.5,416.5,122.5,7.0,4,0.1,5,32.46
1,0.69,735.0,294.0,220.5,3.5,5,0.4,4,14.71
1,0.82,612.5,318.5,147.0,7.0,5,0.1,4,24.24
1,0.74,686.0,245.0,220.5,3.5,5,0.25,5,12.02
1,0.62,808.5,367.5,220.5,3.5,5,0.25,5,13.86
1,0.71,710.5,269.5,220.5,3.5,5,0.25,4,12.28
1,0.82,612.5,318.5,147.0,7.0,3,0.1,1,24.03
1,0.9,563.5,318.5,122.5,7.0,2,0.1,3,28.07
1,0.82,612.5,318.5,147.0,7.0,5,0.1,5,23.86
1,0.76,661.5,416.5,122.5,7.0,2,0.25,4,36.95
1,0.76,661.5,416.5,122.5,7.0,4,0.4,3,38.89
1,0.98,514.5,294.0,110.25,7.0,5,0.0,0,15.55
1,0.86,588.0,294.0,147.0,7.0,3,0.1,4,25.37
1,0.74,686.0,245.0,220.5,3.5,5,0.25,3,11.69
1,0.76,661.5,416.5,122.5,7.0,4,0.25,5,36.06
1,0.71,710.5,269.5,220.5,3.5,2,0.1,5,10.78
1,0.79,637.0,343.0,147.0,7.0,3,0.1,1,37.12
1,0.98,514.5,294.0,110.25,7.0,4,0.4,5,32.21
1,0.86,588.0,294.0,147.0,7.0,4,0.4,1,32.09
1,0.69,735.0,294.0,220.5,3.5,5,0.4,5,14.21
1,0.86,588.0,294.0,147.0,7.0,2,0.1,2,26.48
1,0.98,514.5,294.0,110.25,7.0,5,0.25,2,28.6
1,0.71,710.5,269.5,220.5,3.5,3,0.4,4,14.7
1,0.86,588.0,294.0,147.0,7.0,3,0.1,1,26.91
1,0.79,637.0,343.0,147.0,7.0,5,0.25,1,39.04
1,0.69,735.0,294.0,220.5,3.5,3,0.4,4,14.62
1,0.74,686.0,245.0,220.5,3.5,3,0.1,5,10.37
1,0.82,612.5,318.5,147.0,7.0,4,0.4,3,29.47
1,0.71,710.5,269.5,220.5,3.5,5,0.1,4,10.72
1,0.64,784.0,343.0,220.5,3.5,3,0.25,5,16.86
1,0.79,637.0,343.0,147.0,7.0,4,0.4,1,42.5
1,0.69,735.0,294.0,220.5,3.5,3,0.1,5,11.14
1,0.86,588.0,294.0,147.0,7.0,5,0.4,1,31.29
1,0.79,637.0,343.0,147.0,7.0,3,0.4,3,41.3
1,0.69,735.0,294.0,220.5,3.5,5,0.0,0,6.81
1,0.98,514.5,294.0,110.25,7.0,4,0.4,1,32.49
1,0.98,514.5,294.0,110.25,7.0,4,0.1,4,24.04
1,0.64,784.0,343.0,220.5,3.5,3,0.0,0,10.54
1,0.79,637.0,343.0,147.0,7.0,2,0.25,4,40.0
1,0.74,686.0,245.0,220.5,3.5,2,0.4,1,14.52
1,0.66,759.5,318.5,220.5,3.5,3,0.4,3,15.18
1,0.82,612.5,318.5,147.0,7.0,2,0.1,2,23.75
1,0.62,808.5,367.5,220.5,3.5,3,0.4,5,16.44
1,0.64,784.0,343.0,220.5,3.5,4,0.25,2,17.02
1,0.98,514.5,294.0,110.25,7.0,2,0.0,0,15.55
1,0.86,588.0,294.0,147.0,7.0,4,0.25,1,29.6
1,0.74,686.0,245.0,220.5,3.5,4,0.1,1,10.36
1,0.76,661.5,416.5,122.5,7.0,4,0.25,1,36.91
1,0.79,637.0,343.0,147.0,7.0,4,0.1,1,36.9
1,0.69,735.0,294.0,220.5,3.5,5,0.4,1,14.42
1,0.71,710.5,269.5,220.5,3.5,4,0.25,1,12.57
1,0.86,588.0,294.0,147.0,7.0,4,0.1,3,26.89
1,0.82,612.5,318.5,147.0,7.0,2,0.4,4,28.93
1,0.79,637.0,343.0,147.0,7.0,5,0.4,3,42.08
1,0.66,759.5,318.5,220.5,3.5,5,0.4,3,14.9
1,0.64,784.0,343.0,220.5,3.5,2,0.4,4,19.06
1,0.79,637.0,343.0,147.0,7.0,3,0.1,3,35.48
1,0.71,710.5,269.5,220.5,3.5,3,0.25,5,12.19
1,0.79,637.0,343.0,147.0,7.0,3,0.25,1,40.03
1,0.64,784.0,343.0,220.5,3.5,4,0.25,3,16.66
1,0.82,612.5,318.5,147.0,7.0,3,0.0,0,17.41
1,0.98,514.5,294.0,110.25,7.0,2,0.25,5,28.69
1,0.86,588.0,294.0,147.0,7.0,4,0.4,4,32.15
1,0.71,710.5,269.5,220.5,3.5,5,0.4,2,14.71
1,0.86,588.0,294.0,147.0,7.0,5,0.4,3,31.84
1,0.62,808.5,367.5,220.5,3.5,2,0.1,1,12.96
1,0.86,588.0,294.0,147.0,7.0,5,0.4,4,32.75
1,0.79,637.0,343.0,147.0,7.0,4,0.1,2,36.97
1,0.62,808.5,367.5,220.5,3.5,4,0.4,3,16.55
1,0.62,808.5,367.5,220.5,3.5,3,0.4,3,16.35
1,0.64,784.0,343.0,220.5,3.5,3,0.1,3,15.36
1,0.76,661.5,416.5,122.5,7.0,2,0.25,3,35.99
1,0.79,637.0,343.0,147.0,7.0,4,0.25,2,39.97
1,0.64,784.0,343.0,220.5,3.5,5,0.25,1,17.37
1,0.66,759.5,318.5,220.5,3.5,2,0.1,2,11.45
1,0.98,514.5,294.0,110.25,7.0,4,0.4,4,32.21
1,0.74,686.0,245.0,220.5,3.5,2,0.25,3,11.8
1,0.79,637.0,343.0,147.0,7.0,3,0.25,4,38.84
1,0.79,637.0,343.0,147.0,7.0,2,0.25,5,39.89
1,0.64,784.0,343.0,220.5,3.5,3,0.25,1,17.35
1,0.82,612.5,318.5,147.0,7.0,2,0.4,1,29.22
1,0.64,784.0,343.0,220.5,3.5,2,0.0,0,10.85
1,0.98,514.5,294.0,110.25,7.0,5,0.25,5,28.61
1,0.9,563.5,318.5,122.5,7.0,3,0.1,5,29.08
1,0.76,661.5,416.5,122.5,7.0,2,0.1,1,32.96
1,0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71
1,0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.59
1,0.9,563.5,318.5,122.5,7.0,5,0.1,5,29.02
1,0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.63
1,0.64,784.0,343.0,220.5,3.5,5,0.1,2,15.19
1,0.66,759.5,318.5,220.5,3.5,4,0.25,5,12.78
1,0.9,563.5,318.5,122.5,7.0,3,0.4,3,34.95
1,0.76,661.5,416.5,122.5,7.0,4,0.1,2,33.12
1,0.82,612.5,318.5,147.0,7.0,3,0.1,4,22.8
1,0.74,686.0,245.0,220.5,3.5,4,0.25,5,11.64
1,0.86,588.0,294.0,147.0,7.0,5,0.4,2,31.64
1,0.69,735.0,294.0,220.5,3.5,4,0.0,0,6.77
1,0.79,637.0,343.0,147.0,7.0,3,0.1,5,36.71
1,0.74,686.0,245.0,220.5,3.5,2,0.1,4,10.08
1,0.76,661.5,416.5,122.5,7.0,4,0.4,2,40.57
1,0.64,784.0,343.0,220.5,3.5,3,0.4,5,18.19
1,0.79,637.0,343.0,147.0,7.0,2,0.1,3,35.78
1,0.64,784.0,343.0,220.5,3.5,4,0.4,4,19.0
1,0.66,759.5,318.5,220.5,3.5,2,0.25,2,13.05
1,0.82,612.5,318.5,147.0,7.0,4,0.0,0,16.95
1,0.66,759.5,318.5,220.5,3.5,2,0.4,2,15.34
1,0.76,661.5,416.5,122.5,7.0,5,0.1,2,32.41
1,0.69,735.0,294.0,220.5,3.5,4,0.1,1,11.09
1,0.66,759.5,318.5,220.5,3.5,3,0.25,2,12.93
1,0.66,759.5,318.5,220.5,3.5,5,0.25,2,13.0
1,0.79,637.0,343.0,147.0,7.0,3,0.25,2,40.19
1,0.86,588.0,294.0,147.0,7.0,5,0.1,2,25.36
1,0.79,637.0,343.0,147.0,7.0,3,0.0,0,29.9
1,0.69,735.0,294.0,220.5,3.5,5,0.25,1,12.72
1,0.71,710.5,269.5,220.5,3.5,2,0.1,3,10.77
1,0.79,637.0,343.0,147.0,7.0,4,0.25,3,39.81
1,0.71,710.5,269.5,220.5,3.5,4,0.25,2,12.2
1,0.9,563.5,318.5,122.5,7.0,5,0.1,2,27.9
1,0.66,759.5,318.5,220.5,3.5,4,0.25,3,12.74
1,0.82,612.5,318.5,147.0,7.0,3,0.25,1,27.27
1,0.82,612.5,318.5,147.0,7.0,2,0.25,3,24.7
1,0.74,686.0,245.0,220.5,3.5,3,0.4,4,14.48
1,0.98,514.5,294.0,110.25,7.0,2,0.25,4,28.7
1,0.62,808.5,367.5,220.5,3.5,3,0.0,0,8.49
1,0.98,514.5,294.0,110.25,7.0,4,0.1,5,24.03
1,0.82,612.5,318.5,147.0,7.0,3,0.4,4,28.05
1,0.98,514.5,294.0,110.25,7.0,3,0.1,5,24.33
1,0.76,661.5,416.5,122.5,7.0,5,0.4,2,40.42
1,0.74,686.0,245.0,220.5,3.5,4,0.4,3,14.1
1,0.86,588.0,294.0,147.0,7.0,5,0.0,0,18.31
1,0.76,661.5,416.5,122.5,7.0,4,0.1,4,33.09
1,0.64,784.0,343.0,220.5,3.5,2,0.1,1,15.41
1,0.69,735.0,294.0,220.5,3.5,5,0.25,4,12.86
1,0.76,661.5,416.5,122.5,7.0,4,0.4,1,40.71
1,0.98,514.5,294.0,110.25,7.0,5,0.1,3,24.35
1,0.98,514.5,294.0,110.25,7.0,3,0.25,5,28.58
1,0.71,710.5,269.5,220.5,3.5,2,0.25,3,12.41
1,0.86,588.0,294.0,147.0,7.0,2,0.1,5,27.03
1,0.79,637.0,343.0,147.0,7.0,4,0.4,3,42.49
1,0.66,759.5,318.5,220.5,3.5,5,0.25,5,13.02
1,0.86,588.0,294.0,147.0,7.0,4,0.4,5,31.12
1,0.86,588.0,294.0,147.0,7.0,4,0.4,3,32.05
1,0.82,612.5,318.5,147.0,7.0,4,0.25,4,25.43
1,0.86,588.0,294.0,147.0,7.0,5,0.4,5,32.06
1,0.62,808.5,367.5,220.5,3.5,2,0.25,5,13.68
1,0.71,710.5,269.5,220.5,3.5,3,0.1,3,10.68
1,0.64,784.0,343.0,220.5,3.5,2,0.4,3,18.48
1,0.74,686.0,245.0,220.5,3.5,3,0.1,2,10.46
1,0.64,784.0,343.0,220.5,3.5,4,0.4,1,19.48
1,0.86,588.0,294.0,147.0,7.0,5,0.25,5,29.39
1,0.98,514.5,294.0,110.25,7.0,3,0.1,1,24.63
1,0.71,710.5,269.5,220.5,3.5,5,0.0,0,6.4
1,0.74,686.0,245.0,220.5,3.5,3,0.4,2,14.45
1,0.71,710.5,269.5,220.5,3.5,4,0.25,5,12.25
1,0.62,808.5,367.5,220.5,3.5,4,0.4,4,16.94
1,0.69,735.0,294.0,220.5,3.5,4,0.1,5,11.11
1,0.9,563.5,318.5,122.5,7.0,3,0.4,5,35.01
1,0.71,710.5,269.5,220.5,3.5,2,0.4,4,14.6
1,0.76,661.5,416.5,122.5,7.0,2,0.1,2,33.16
1,0.9,563.5,318.5,122.5,7.0,2,0.25,3,31.63
1,0.62,808.5,367.5,220.5,3.5,5,0.1,1,13.02
1,0.66,759.5,318.5,220.5,3.5,4,0.25,2,12.77
1,0.98,514.5,294.0,110.25,7.0,3,0.25,1,28.15
1,0.79,637.0,343.0,147.0,7.0,3,0.4,2,43.1
1,0.62,808.5,367.5,220.5,3.5,3,0.25,3,14.34
1,0.69,735.0,294.0,220.5,3.5,2,0.25,2,12.85
1,0.82,612.5,318.5,147.0,7.0,4,0.1,1,23.54
1,0.82,612.5,318.5,147.0,7.0,5,0.25,4,26.0
1,0.98,514.5,294.0,110.25,7.0,2,0.4,1,32.26
1,0.9,563.5,318.5,122.5,7.0,5,0.25,5,32.46
1,0.82,612.5,318.5,147.0,7.0,5,0.25,5,25.49
1,0.98,514.5,294.0,110.25,7.0,5,0.4,5,32.73
1,0.74,686.0,245.0,220.5,3.5,4,0.4,1,14.5
1,0.62,808.5,367.5,220.5,3.5,5,0.4,2,17.15
1,0.71,710.5,269.5,220.5,3.5,3,0.0,0,6.4
1,0.9,563.5,318.5,122.5,7.0,4,0.1,1,29.14
1,0.98,514.5,294.0,110.25,7.0,5,0.4,1,32.53
1,0.74,686.0,245.0,220.5,3.5,3,0.25,2,12.45
1,0.98,514.5,294.0,110.25,7.0,4,0.1,3,24.11
1,0.86,588.0,294.0,147.0,7.0,5,0.25,4,29.88
1,0.62,808.5,367.5,220.5,3.5,4,0.25,5,14.16
1,0.82,612.5,318.5,147.0,7.0,3,0.4,2,29.49
1,0.74,686.0,245.0,220.5,3.5,4,0.4,2,14.18
1,0.76,661.5,416.5,122.5,7.0,3,0.1,3,33.28
1,0.69,735.0,294.0,220.5,3.5,2,0.1,1,11.11
1,0.71,710.5,269.5,220.5,3.5,5,0.25,3,12.19
1,0.79,637.0,343.0,147.0,7.0,5,0.1,5,35.48
1,0.86,588.0,294.0,147.0,7.0,3,0.0,0,19.95
1,0.64,784.0,343.0,220.5,3.5,4,0.25,5,16.76
1,0.64,784.0,343.0,220.5,3.5,3,0.25,4,16.69
1,0.71,710.5,269.5,220.5,3.5,2,0.4,2,14.7
1,0.69,735.0,294.0,220.5,3.5,5,0.1,3,11.14
1,0.98,514.5,294.0,110.25,7.0,4,0.25,5,28.15
1,0.74,686.0,245.0,220.5,3.5,4,0.25,1,12.41
1,0.9,563.5,318.5,122.5,7.0,3,0.25,1,33.48
1,0.71,710.5,269.5,220.5,3.5,2,0.25,2,12.33
1,0.9,563.5,318.5,122.5,7.0,3,0.0,0,21.46
1,0.9,563.5,318.5,122.5,7.0,3,0.1,4,28.05
1,0.71,710.5,269.5,220.5,3.5,3,0.4,2,14.66
1,0.74,686.0,245.0,220.5,3.5,5,0.4,2,14.5
1,0.69,735.0,294.0,220.5,3.5,2,0.25,4,12.91
1,0.76,661.5,416.5,122.5,7.0,3,0.1,5,33.21
1,0.71,710.5,269.5,220.5,3.5,5,0.25,5,12.27
1,0.9,563.5,318.5,122.5,7.0,4,0.25,5,31.53
1,0.74,686.0,245.0,220.5,3.5,2,0.4,2,14.54
1,0.66,759.5,318.5,220.5,3.5,4,0.0,0,7.1
1,0.69,735.0,294.0,220.5,3.5,5,0.4,3,14.08
1,0.86,588.0,294.0,147.0,7.0,3,0.25,2,29.87
1,0.76,661.5,416.5,122.5,7.0,3,0.25,1,36.13
1,0.79,637.0,343.0,147.0,7.0,4,0.1,3,36.97
1,0.79,637.0,343.0,147.0,7.0,5,0.1,1,35.94
1,0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.64
1,0.66,759.5,318.5,220.5,3.5,5,0.0,0,7.1
1,0.9,563.5,318.5,122.5,7.0,2,0.0,0,20.84
1,0.69,735.0,294.0,220.5,3.5,3,0.0,0,6.79
1,0.74,686.0,245.0,220.5,3.5,3,0.4,3,14.22
1,0.64,784.0,343.0,220.5,3.5,2,0.1,5,15.16
1,0.79,637.0,343.0,147.0,7.0,2,0.4,5,42.11
1,0.98,514.5,294.0,110.25,7.0,5,0.1,2,24.25
1,0.79,637.0,343.0,147.0,7.0,5,0.4,4,42.96
1,0.74,686.0,245.0,220.5,3.5,3,0.4,5,14.19
1,0.62,808.5,367.5,220.5,3.5,2,0.1,4,12.85
1,0.98,514.5,294.0,110.25,7.0,4,0.25,3,28.17
1,0.98,514.5,294.0,110.25,7.0,4,0.25,4,28.15
1,0.86,588.0,294.0,147.0,7.0,4,0.25,2,29.27
1,0.74,686.0,245.0,220.5,3.5,2,0.4,4,14.37
1,0.79,637.0,343.0,147.0,7.0,4,0.25,5,39.01
1,0.66,759.5,318.5,220.5,3.5,4,0.4,3,14.72
1,0.66,759.5,318.5,220.5,3.5,3,0.25,5,12.82
1,0.64,784.0,343.0,220.5,3.5,4,0.1,3,15.12
1,0.86,588.0,294.0,147.0,7.0,3,0.4,2,32.74
1,0.62,808.5,367.5,220.5,3.5,3,0.25,5,13.99
1,0.76,661.5,416.5,122.5,7.0,5,0.4,4,40.11
1,0.76,661.5,416.5,122.5,7.0,2,0.1,5,32.31
1,0.74,686.0,245.0,220.5,3.5,5,0.25,2,12.3
1,0.62,808.5,367.5,220.5,3.5,3,0.25,1,15.12
1,0.86,588.0,294.0,147.0,7.0,3,0.1,3,26.47
1,0.98,514.5,294.0,110.25,7.0,3,0.4,1,32.26
1,0.79,637.0,343.0,147.0,7.0,2,0.25,1,38.67
1,0.86,588.0,294.0,147.0,7.0,2,0.1,4,26.44
1,0.82,612.5,318.5,147.0,7.0,2,0.4,5,30.0
1,0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.7
1,0.74,686.0,245.0,220.5,3.5,2,0.25,1,12.43
1,0.76,661.5,416.5,122.5,7.0,4,0.4,4,40.6
1,0.98,514.5,294.0,110.25,7.0,2,0.4,5,32.84
1,0.64,784.0,343.0,220.5,3.5,4,0.0,0,10.77
1,0.66,759.5,318.5,220.5,3.5,3,0.1,2,11.42
1,0.64,784.0,343.0,220.5,3.5,5,0.25,3,16.86
1,0.66,759.5,318.5,220.5,3.5,5,0.4,5,15.16
1,0.98,514.5,294.0,110.25,7.0,3,0.4,3,32.69
1,0.86,588.0,294.0,147.0,7.0,4,0.1,5,25.36
1,0.82,612.5,318.5,147.0,7.0,5,0.4,1,28.65
1,0.66,759.5,318.5,220.5,3.5,4,0.4,4,15.09
1,0.9,563.5,318.5,122.5,7.0,5,0.25,4,33.28
1,0.98,514.5,294.0,110.25,7.0,2,0.1,4,24.38
1,0.71,710.5,269.5,220.5,3.5,2,0.1,4,10.66
1,0.98,514.5,294.0,110.25,7.0,3,0.25,4,28.55
1,0.86,588.0,294.0,147.0,7.0,3,0.4,5,31.81
1,0.98,514.5,294.0,110.25,7.0,2,0.4,2,32.82
1,0.64,784.0,343.0,220.5,3.5,4,0.25,4,16.56
1,0.64,784.0,343.0,220.5,3.5,5,0.25,5,16.92
1,0.82,612.5,318.5,147.0,7.0,3,0.1,3,23.84
1,0.76,661.5,416.5,122.5,7.0,5,0.4,1,40.43
1,0.69,735.0,294.0,220.5,3.5,2,0.1,5,11.21
1,0.79,637.0,343.0,147.0,7.0,4,0.4,5,41.09
1,0.66,759.5,318.5,220.5,3.5,3,0.25,3,13.01
1,0.79,637.0,343.0,147.0,7.0,4,0.25,1,39.86
1,0.98,514.5,294.0,110.25,7.0,4,0.4,2,32.24
1,0.9,563.5,318.5,122.5,7.0,4,0.1,2,28.83
1,0.9,563.5,318.5,122.5,7.0,2,0.1,1,29.03
1,0.82,612.5,318.5,147.0,7.0,2,0.1,3,22.93
1,0.69,735.0,294.0,220.5,3.5,5,0.25,3,12.12
1,0.76,661.5,416.5,122.5,7.0,3,0.25,5,36.64
1,0.98,514.5,294.0,110.25,7.0,3,0.1,2,24.31
1,0.69,735.0,294.0,220.5,3.5,2,0.4,4,14.54
1,0.69,735.0,294.0,220.5,3.5,2,0.1,2,11.45
1,0.69,735.0,294.0,220.5,3.5,3,0.1,3,11.16
1,0.86,588.0,294.0,147.0,7.0,5,0.25,2,28.4
1,0.82,612.5,318.5,147.0,7.0,4,0.1,2,23.67
1,0.62,808.5,367.5,220.5,3.5,4,0.4,1,17.14
1,0.64,784.0,343.0,220.5,3.5,5,0.25,2,17.11
1,0.62,808.5,367.5,220.5,3.5,5,0.1,3,12.73
1,0.71,710.5,269.5,220.5,3.5,4,0.25,3,12.1
1,0.9,563.5,318.5,122.5,7.0,5,0.25,2,31.66
